user_id:liv, total:   19
user_id:wkd, total:   12
user_id:chr, total:   12
user_id:pig, total:   10
user_id:fla, total:    9
user_id:tar, total:    8
user_id:dan, total:    8
user_id:ges, total:    7
user_id:see, total:    7
user_id:zjv, total:    7
user_id:dif, total:    6
user_id:dlw, total:    6
user_id:jdh, total:    6
user_id:ted, total:    6
user_id:cyc, total:    6
user_id:han, total:    6
user_id:ior, total:    5
user_id:cor, total:    5
user_id:kj9, total:    5
user_id:mar, total:    5
user_id:sin, total:    5
user_id:spi, total:    5
user_id:hit, total:    5
user_id:sav, total:    5
user_id:min, total:    5
user_id:bal, total:    5
user_id:ljh, total:    5
user_id:ret, total:    4
user_id:ors, total:    4
user_id:cor, total:    4
user_id:tt4, total:    4
user_id:nos, total:    4
user_id:fad, total:    4
user_id:hin, total:    4
user_id:cad, total:    4
user_id:mir, total:    4
user_id:jin, total:    4
user_id:pin, total:    4
user_id:dar, total:    4
user_id:yoo, total:    4
user_id:pan, total:    4
user_id:shu, total:    4
user_id:mem, total:    4
user_id:mal, total:    4
user_id:apo, total:    4
user_id:den, total:    4
user_id:mis, total:    4
user_id:nac, total:    4
user_id:mon, total:    4
user_id:ljm, total:    4
