author:mem, total:   35
author:seo, total:    9
author:ten, total:    4
author:whg, total:    4
author:wkd, total:    4
author:gga, total:    3
author:jdh, total:    3
author:jse, total:    3
author:ran, total:    3
author:nvi, total:    3
author:sha, total:    3
author:yak, total:    3
author:gog, total:    3
author:k44, total:    3
author:ide, total:    2
author:nac, total:    2
author:gol, total:    2
author:pir, total:    2
author:paz, total:    2
author:jae, total:    2
author:sty, total:    2
author:d11, total:    2
author:lav, total:    2
author:ehs, total:    2
author:rac, total:    2
author:ram, total:    2
author:msm, total:    2
author:c10, total:    2
author:liv, total:    2
author:rem, total:    1
author:kj9, total:    1
author:con, total:    1
author:ank, total:    1
author:exp, total:    1
author:dkk, total:    1
author:vir, total:    1
author:kdf, total:    1
author:sym, total:    1
author:sto, total:    1
author:mal, total:    1
author:nos, total:    1
author:rid, total:    1
author:emb, total:    1
author:fiv, total:    1
author:seo, total:    1
author:lep, total:    1
author:exp, total:    1
author:coo, total:    1
author:tir, total:    1
author:spa, total:    1
