author:ta, total:   12
author:ru, total:   12
author:jd, total:   11
author:me, total:   10
author:k4, total:    8
author:mo, total:    8
author:dr, total:    6
author:cr, total:    6
author:la, total:    6
author:Le, total:    5
author:st, total:    5
author:dh, total:    5
author:Ju, total:    5
author:de, total:    4
author:ci, total:    4
author:js, total:    4
author:el, total:    4
author:ft, total:    4
author:cy, total:    3
author:sp, total:    3
author:jo, total:    3
author:ge, total:    3
author:dm, total:    3
author:so, total:    3
author:il, total:    3
author:da, total:    3
author:gg, total:    3
author:ca, total:    3
author:qw, total:    3
author:ki, total:    3
author:su, total:    3
author:sh, total:    3
author:yy, total:    3
author:hb, total:    3
author:ro, total:    3
author:sw, total:    3
author:ba, total:    2
author:ch, total:    2
author:we, total:    2
author:si, total:    2
author:lu, total:    2
author:62, total:    2
author:al, total:    2
author:mo, total:    2
author:mi, total:    2
author:MS, total:    2
author:pp, total:    2
author:la, total:    2
author:pj, total:    2
author:el, total:    2
