user_id:me, total:   23
user_id:ge, total:   22
user_id:sl, total:   22
user_id:dl, total:   18
user_id:Ju, total:   18
user_id:42, total:   17
user_id:sw, total:   16
user_id:se, total:   15
user_id:li, total:   15
user_id:ch, total:   14
user_id:li, total:   14
user_id:Le, total:   14
user_id:le, total:   12
user_id:su, total:   12
user_id:mi, total:   12
user_id:Me, total:   11
user_id:al, total:   11
user_id:do, total:   11
user_id:re, total:   11
user_id:la, total:   11
user_id:be, total:   11
user_id:da, total:   10
user_id:pi, total:   10
user_id:ju, total:   10
user_id:yj, total:   10
user_id:as, total:   10
user_id:cr, total:   10
user_id:re, total:   10
user_id:pp, total:   10
user_id:ki, total:   10
user_id:ne, total:   10
user_id:gi, total:   10
user_id:ap, total:   10
user_id:co, total:   10
user_id:yh, total:   10
user_id:za, total:    9
user_id:ma, total:    9
user_id:no, total:    9
user_id:kt, total:    9
user_id:ba, total:    9
user_id:ru, total:    9
user_id:dd, total:    9
user_id:ki, total:    9
user_id:lo, total:    9
user_id:th, total:    9
user_id:ju, total:    9
user_id:gu, total:    8
user_id:le, total:    8
user_id:ba, total:    8
user_id:da, total:    8
