author:wat19, total:   14
author:shoon, total:    7
author:ryu85, total:    4
author:zonx , total:    4
author:edwer, total:    2
author:kihye, total:    2
author:desir, total:    2
author:nipa0, total:    2
author:komur, total:    2
author:kjs31, total:    2
author:ftfut, total:    2
author:siber, total:    1
author:fremo, total:    1
author:msmgm, total:    1
author:wlsgu, total:    1
author:supad, total:    1
author:monol, total:    1
author:hb86o, total:    1
author:404pa, total:    1
author:rusty, total:    1
author:xxxy , total:    1
author:nolim, total:    1
author:dora1, total:    1
author:alaal, total:    1
author:anipe, total:    1
author:seanj, total:    1
author:khone, total:    1
author:gak00, total:    1
author:super, total:    1
author:shind, total:    1
author:choco, total:    1
author:hyunz, total:    1
author:cinei, total:    1
author:lovec, total:    1
author:pjg56, total:    1
author:typho, total:    1
author:ayabr, total:    1
author:alexw, total:    1
author:oddsa, total:    1
author:plegu, total:    1
author:senan, total:    1
author:nutsd, total:    1
author:buckt, total:    1
author:fgdhf, total:    1
author:nosm0, total:    1
author:zeroj, total:    1
author:klaat, total:    1
author:ver3c, total:    1
author:hinal, total:    1
author:aaao , total:    1
