author:pir, total:   42
author:red, total:   32
author:jse, total:   23
author:ezj, total:   19
author:ide, total:   15
author:mal, total:   14
author:c10, total:   10
author:kim, total:    9
author:liv, total:    8
author:cyh, total:    8
author:kim, total:    6
author:ask, total:    5
author:d11, total:    5
author:can, total:    5
author:gam, total:    4
author:lol, total:    4
author:elf, total:    4
author:su6, total:    4
author:lyl, total:    3
author:glo, total:    3
author:jin, total:    3
author:pan, total:    3
author:wel, total:    3
author:yak, total:    3
author:bbq, total:    3
author:cha, total:    3
author:hel, total:    2
author:cor, total:    2
author:gog, total:    2
author:dhr, total:    2
author:k44, total:    2
author:dae, total:    2
author:kj9, total:    2
author:thi, total:    2
author:2uo, total:    2
author:cad, total:    2
author:pre, total:    2
author:kam, total:    2
author:rai, total:    2
author:ran, total:    2
author:tal, total:    2
author:kad, total:    2
author:jdh, total:    2
author:fre, total:    2
author:net, total:    1
author:chu, total:    1
author:yjs, total:    1
author:ban, total:    1
author:whg, total:    1
author:mai, total:    1
