user_id:yj, total:   10
user_id:bl, total:    4
user_id:da, total:    4
user_id:ro, total:    4
user_id:lj, total:    4
user_id:ra, total:    3
user_id:gb, total:    3
user_id:42, total:    3
user_id:hy, total:    3
user_id:na, total:    2
user_id:co, total:    2
user_id:ko, total:    2
user_id:pa, total:    2
user_id:lj, total:    2
user_id:gg, total:    2
user_id:so, total:    2
user_id:da, total:    2
user_id:te, total:    2
user_id:aq, total:    2
user_id:ch, total:    2
user_id:li, total:    2
user_id:li, total:    2
user_id:ty, total:    2
user_id:hs, total:    2
user_id:DE, total:    2
user_id:li, total:    2
user_id:ka, total:    1
user_id:ni, total:    1
user_id:ch, total:    1
user_id:he, total:    1
user_id:ra, total:    1
user_id:me, total:    1
user_id:re, total:    1
user_id:ha, total:    1
user_id:un, total:    1
user_id:yo, total:    1
user_id:sk, total:    1
user_id:gr, total:    1
user_id:sm, total:    1
user_id:fe, total:    1
user_id:Le, total:    1
user_id:mn, total:    1
user_id:re, total:    1
user_id:Ma, total:    1
user_id:ta, total:    1
user_id:de, total:    1
user_id:ll, total:    1
user_id:co, total:    1
user_id:an, total:    1
user_id:di, total:    1
