author:wat, total:   15
author:gga, total:    6
author:bul, total:    4
author:cli, total:    3
author:ric, total:    3
author:k44, total:    3
author:phr, total:    3
author:kut, total:    3
author:win, total:    2
author:yle, total:    2
author:2on, total:    2
author:plp, total:    2
author:chi, total:    2
author:hdp, total:    2
author:muh, total:    2
author:ljm, total:    2
author:hik, total:    2
author:gui, total:    2
author:seo, total:    2
author:ora, total:    2
author:gak, total:    1
author:ryu, total:    1
author:jsg, total:    1
author:jdh, total:    1
author:isu, total:    1
author:sup, total:    1
author:cli, total:    1
author:pnk, total:    1
author:gog, total:    1
author:wre, total:    1
author:coc, total:    1
author:dkk, total:    1
author:ims, total:    1
author:coc, total:    1
author:job, total:    1
author:msm, total:    1
author:gse, total:    1
author:che, total:    1
author:ais, total:    1
author:skt, total:    1
author:hth, total:    1
author:ghk, total:    1
author:nsu, total:    1
author:asw, total:    1
author:kis, total:    1
author:tra, total:    1
author:rep, total:    1
author:wel, total:    1
author:kag, total:    1
author:bsc, total:    1
