user_id:mem, total:   34
user_id:Jul, total:   24
user_id:ves, total:   20
user_id:ges, total:   20
user_id:mon, total:   19
user_id:liv, total:   19
user_id:sla, total:   18
user_id:dym, total:   16
user_id:pin, total:   16
user_id:sel, total:   15
user_id:thi, total:   15
user_id:421, total:   14
user_id:drp, total:   13
user_id:bae, total:   13
user_id:wkd, total:   13
user_id:gus, total:   12
user_id:doy, total:   12
user_id:sil, total:   12
user_id:lee, total:   11
user_id:new, total:   11
user_id:kim, total:   11
user_id:cro, total:   11
user_id:Lee, total:   10
user_id:dlw, total:   10
user_id:yhf, total:   10
user_id:pir, total:   10
user_id:lov, total:   10
user_id:dar, total:    9
user_id:Mea, total:    9
user_id:apo, total:    9
user_id:rea, total:    9
user_id:mon, total:    9
user_id:col, total:    9
user_id:wkd, total:    9
user_id:you, total:    9
user_id:nou, total:    9
user_id:hit, total:    9
user_id:dan, total:    8
user_id:che, total:    8
user_id:val, total:    8
user_id:hin, total:    8
user_id:min, total:    8
user_id:ika, total:    8
user_id:ais, total:    8
user_id:gih, total:    8
user_id:toy, total:    8
user_id:log, total:    8
user_id:pol, total:    7
user_id:coo, total:    7
user_id:ukj, total:    7
