user_id:mem, total:   40
user_id:Jul, total:   38
user_id:ges, total:   27
user_id:dar, total:   20
user_id:thi, total:   17
user_id:dhk, total:   17
user_id:alb, total:   16
user_id:kim, total:   16
user_id:hin, total:   15
user_id:liv, total:   15
user_id:drp, total:   14
user_id:sai, total:   14
user_id:yst, total:   14
user_id:mod, total:   14
user_id:sla, total:   14
user_id:sav, total:   14
user_id:sil, total:   13
user_id:dym, total:   12
user_id:cro, total:   11
user_id:nov, total:   11
user_id:spi, total:   11
user_id:ama, total:   11
user_id:new, total:   11
user_id:jdh, total:   10
user_id:ves, total:   10
user_id:cyc, total:   10
user_id:and, total:   10
user_id:oli, total:   10
user_id:tom, total:   10
user_id:pin, total:   10
user_id:lap, total:   10
user_id:cor, total:   10
user_id:yy4, total:   10
user_id:las, total:    9
user_id:p54, total:    9
user_id:han, total:    9
user_id:coo, total:    9
user_id:kic, total:    9
user_id:pnt, total:    9
user_id:iih, total:    9
user_id:fly, total:    9
user_id:sel, total:    9
user_id:ljm, total:    9
user_id:cad, total:    9
user_id:pir, total:    8
user_id:syg, total:    8
user_id:val, total:    8
user_id:sco, total:    8
user_id:m5n, total:    8
user_id:god, total:    8
