author:gg, total:   20
author:pi, total:    3
author:jd, total:    3
author:an, total:    2
author:vo, total:    2
author:lo, total:    1
author:ex, total:    1
author:ka, total:    1
author:ki, total:    1
author:sw, total:    1
author:ft, total:    1
author:ge, total:    1
author:mo, total:    1
author:al, total:    1
author:pp, total:    1
author:sa, total:    1
author:Su, total:    1
author:rr, total:    1
author:an, total:    1
author:ge, total:    1
author:jh, total:    1
author:pi, total:    1
author:as, total:    1
author:sa, total:    1
author:Ph, total:    1
author:na, total:    1
author:ja, total:    1
author:so, total:    1
author:sy, total:    1
author:MS, total:    1
author:cl, total:    1
author:li, total:    1
author:go, total:    1
author:sk, total:    1
author:wj, total:    1
author:si, total:    1
author:dr, total:    1
author:aa, total:    1
author:vv, total:    1
author:la, total:    1
author:sh, total:    1
author:co, total:    1
author:pj, total:    1
author:hb, total:    1
author:re, total:    1
author:no, total:    1
author:my, total:    1
author:kj, total:    1
author:as, total:    1
author:sh, total:    1
