author:bar, total:   25
author:jcw, total:   25
author:sto, total:   25
author:rev, total:   25
author:sky, total:   25
author:roy, total:   25
author:gen, total:   25
author:mbs, total:   25
author:mou, total:   25
author:ned, total:   24
author:mag, total:   24
author:des, total:   24
author:par, total:   24
author:cra, total:   24
author:fgh, total:   24
author:apo, total:   24
author:ben, total:   23
author:myo, total:   23
author:ghk, total:   23
author:sla, total:   23
author:alp, total:   23
author:mat, total:   23
author:odd, total:   23
author:tib, total:   23
author:ask, total:   23
author:dar, total:   23
author:shi, total:   23
author:yh0, total:   23
author:per, total:   23
author:mir, total:   23
author:dah, total:   23
author:rr4, total:   23
author:neo, total:   23
author:blu, total:   23
author:har, total:   23
author:sdh, total:   22
author:kns, total:   22
author:ptc, total:   22
author:dym, total:   22
author:bih, total:   22
author:min, total:   22
author:rou, total:   22
author:kjs, total:   22
author:PLA, total:   22
author:hur, total:   22
author:the, total:   22
author:tom, total:   22
author:smi, total:   22
author:exp, total:   22
author:Sui, total:   21
author:hse, total:   21
author:sun, total:   21
author:tda, total:   21
author:ili, total:   21
author:gus, total:   21
author:kni, total:   21
author:ljm, total:   20
author:my_, total:   20
author:jah, total:   20
author:blu, total:   20
author:ran, total:   20
author:kid, total:   20
author:cli, total:   20
author:msc, total:   20
author:nad, total:   20
author:mfr, total:   20
author:rho, total:   20
author:wow, total:   20
author:bre, total:   20
author:rou, total:   20
author:Gin, total:   20
author:kka, total:   20
author:asg, total:   19
author:bba, total:   19
author:par, total:   19
author:dke, total:   19
author:asd, total:   19
author:far, total:   19
author:ddr, total:   19
author:off, total:   19
author:uk7, total:   19
author:man, total:   19
author:bae, total:   19
author:mic, total:   19
author:pdh, total:   19
author:nzs, total:   19
author:coo, total:   19
author:bal, total:   19
author:tan, total:   19
author:thi, total:   18
author:ero, total:   18
author:juv, total:   18
author:nos, total:   18
author:rhk, total:   18
author:tok, total:   18
author:Hel, total:   18
author:doy, total:   18
author:Lem, total:   18
author:hdk, total:   18
author:cli, total:   18
author:132, total:   18
author:nin, total:   18
author:ram, total:   18
author:skf, total:   18
author:kko, total:   18
author:ast, total:   18
author:hon, total:   18
author:sad, total:   18
author:nap, total:   18
author:tom, total:   18
author:224, total:   18
author:van, total:   17
author:zin, total:   17
author:lav, total:   17
author:alu, total:   17
author:mto, total:   17
author:ljb, total:   17
author:kyk, total:   17
author:cor, total:   17
author:xxx, total:   17
author:aur, total:   17
author:Jhk, total:   17
author:aki, total:   17
author:hol, total:   17
