author:gga, total:   10
author:com, total:    3
author:ask, total:    2
author:nes, total:    2
author:wkd, total:    2
author:tog, total:    2
author:pin, total:    1
author:red, total:    1
author:sna, total:    1
author:jdh, total:    1
author:yak, total:    1
author:4le, total:    1
author:cad, total:    1
author:vit, total:    1
author:iii, total:    1
author:tar, total:    1
author:rac, total:    1
author:col, total:    1
author:kad, total:    1
author:asd, total:    1
author:nd0, total:    1
author:and, total:    1
author:gom, total:    1
author:swe, total:    1
author:chu, total:    1
author:the, total:    1
author:hhb, total:    1
author:ims, total:    1
author:tmz, total:    1
author:nzs, total:    1
author:cas, total:    1
author:log, total:    1
author:gai, total:    1
author:sjw, total:    1
author:mob, total:    1
author:blu, total:    1
author:sup, total:    1
author:bri, total:    1
author:coo, total:    1
author:elf, total:    1
author:wkd, total:    1
author:two, total:    1
author:sha, total:    1
author:hig, total:    1
author:smi, total:    1
author:lik, total:    1
author:jun, total:    1
