user_id:ju, total:   10
user_id:sp, total:    9
user_id:li, total:    5
user_id:as, total:    4
user_id:gu, total:    4
user_id:sa, total:    3
user_id:lj, total:    3
user_id:oh, total:    3
user_id:Ki, total:    3
user_id:pp, total:    3
user_id:hy, total:    3
user_id:fa, total:    3
user_id:yo, total:    3
user_id:je, total:    2
user_id:ki, total:    2
user_id:xm, total:    2
user_id:my, total:    2
user_id:ma, total:    2
user_id:yh, total:    2
user_id:mi, total:    2
user_id:sl, total:    2
user_id:Ma, total:    2
user_id:ya, total:    2
user_id:da, total:    2
user_id:li, total:    2
user_id:ev, total:    2
user_id:vi, total:    2
user_id:ma, total:    2
user_id:el, total:    2
user_id:ca, total:    2
user_id:iz, total:    2
user_id:er, total:    2
user_id:uk, total:    2
user_id:sy, total:    2
user_id:ba, total:    2
user_id:kh, total:    2
user_id:no, total:    2
user_id:hj, total:    2
user_id:fa, total:    2
user_id:yt, total:    2
user_id:cr, total:    2
user_id:lo, total:    2
user_id:hi, total:    2
user_id:pi, total:    2
user_id:pu, total:    2
user_id:gu, total:    2
user_id:si, total:    1
user_id:ss, total:    1
user_id:ma, total:    1
user_id:pe, total:    1
