author:df3, total:   13
author:hon, total:    8
author:zol, total:    7
author:d11, total:    6
author:mac, total:    5
author:kim, total:    3
author:har, total:    3
author:jdh, total:    3
author:peg, total:    2
author:ENT, total:    2
author:gui, total:    2
author:drp, total:    2
author:moo, total:    2
author:loe, total:    2
author:zaa, total:    2
author:ggk, total:    2
author:nep, total:    2
author:mir, total:    2
author:sas, total:    2
author:skt, total:    2
author:nos, total:    2
author:su6, total:    2
author:dlf, total:    1
author:net, total:    1
author:neo, total:    1
author:tk1, total:    1
author:bra, total:    1
author:pan, total:    1
author:ady, total:    1
author:rev, total:    1
author:sps, total:    1
author:wil, total:    1
author:shs, total:    1
author:lee, total:    1
author:cli, total:    1
author:sym, total:    1
author:bia, total:    1
author:ptc, total:    1
author:jae, total:    1
author:boi, total:    1
author:dah, total:    1
author:gus, total:    1
author:dke, total:    1
author:ham, total:    1
author:ter, total:    1
author:kdf, total:    1
author:par, total:    1
author:Jul, total:    1
author:qua, total:    1
author:iru, total:    1
