author:df3, total:   13
author:hon, total:    7
author:d11, total:    6
author:mac, total:    5
author:jdh, total:    3
author:har, total:    3
author:zol, total:    3
author:kim, total:    3
author:nep, total:    2
author:skt, total:    2
author:sas, total:    2
author:zaa, total:    2
author:su6, total:    2
author:ggk, total:    2
author:loe, total:    2
author:ENT, total:    2
author:moo, total:    2
author:peg, total:    2
author:gui, total:    2
author:nos, total:    2
author:mir, total:    2
author:Jul, total:    1
author:pan, total:    1
author:drp, total:    1
author:jen, total:    1
author:gga, total:    1
author:ady, total:    1
author:rev, total:    1
author:sno, total:    1
author:mbc, total:    1
author:pop, total:    1
author:lee, total:    1
author:cli, total:    1
author:cre, total:    1
author:seo, total:    1
author:mon, total:    1
author:ptc, total:    1
author:jae, total:    1
author:pan, total:    1
author:cad, total:    1
author:dah, total:    1
author:tvs, total:    1
author:ter, total:    1
author:kob, total:    1
author:qwe, total:    1
author:pet, total:    1
author:qua, total:    1
author:lar, total:    1
author:cox, total:    1
author:mad, total:    1
