author:df3, total:   13
author:hon, total:    7
author:mac, total:    5
author:d11, total:    5
author:kim, total:    3
author:jdh, total:    3
author:zol, total:    3
author:loe, total:    2
author:ENT, total:    2
author:peg, total:    2
author:gui, total:    2
author:moo, total:    2
author:har, total:    2
author:nos, total:    2
author:mir, total:    2
author:nep, total:    2
author:skt, total:    2
author:sas, total:    2
author:zaa, total:    2
author:su6, total:    2
author:ggk, total:    2
author:kj9, total:    1
author:kal, total:    1
author:ter, total:    1
author:dlf, total:    1
author:ham, total:    1
author:rac, total:    1
author:tk1, total:    1
author:spl, total:    1
author:pat, total:    1
author:bra, total:    1
author:ewq, total:    1
author:sps, total:    1
author:wil, total:    1
author:bsh, total:    1
author:pat, total:    1
author:sym, total:    1
author:bia, total:    1
author:cor, total:    1
author:lik, total:    1
author:boi, total:    1
author:bbc, total:    1
author:gus, total:    1
author:dke, total:    1
author:yak, total:    1
author:ndo, total:    1
author:kdf, total:    1
author:whi, total:    1
author:iru, total:    1
author:par, total:    1
