user_id:qu, total:   23
user_id:ri, total:   11
user_id:be, total:   10
user_id:my, total:   10
user_id:bu, total:   10
user_id:pi, total:    9
user_id:yj, total:    9
user_id:da, total:    9
user_id:ee, total:    9
user_id:oo, total:    7
user_id:yh, total:    7
user_id:bl, total:    6
user_id:kt, total:    6
user_id:jo, total:    5
user_id:be, total:    5
user_id:al, total:    5
user_id:al, total:    5
user_id:in, total:    5
user_id:hi, total:    5
user_id:ia, total:    4
user_id:so, total:    4
user_id:ru, total:    4
user_id:xw, total:    4
user_id:ju, total:    4
user_id:as, total:    4
user_id:2o, total:    4
user_id:ca, total:    4
user_id:co, total:    3
user_id:ra, total:    3
user_id:dr, total:    3
user_id:qh, total:    3
user_id:fo, total:    3
user_id:ci, total:    3
user_id:gg, total:    3
user_id:ta, total:    3
user_id:to, total:    2
user_id:fa, total:    2
user_id:ze, total:    2
user_id:ki, total:    2
user_id:to, total:    2
user_id:dr, total:    2
user_id:se, total:    2
user_id:ra, total:    2
user_id:sk, total:    2
user_id:el, total:    2
user_id:ra, total:    2
user_id:le, total:    2
user_id:gh, total:    2
user_id:ji, total:    2
user_id:k4, total:    2
