author:me, total:   15
author:jd, total:   11
author:ra, total:   10
author:lo, total:    7
author:ki, total:    6
author:ka, total:    6
author:sh, total:    5
author:sy, total:    5
author:as, total:    5
author:co, total:    5
author:re, total:    4
author:li, total:    4
author:we, total:    4
author:mi, total:    4
author:su, total:    3
author:Su, total:    3
author:Bo, total:    3
author:ma, total:    3
author:bu, total:    3
author:ki, total:    3
author:wo, total:    3
author:ph, total:    3
author:go, total:    3
author:pi, total:    3
author:te, total:    3
author:c1, total:    3
author:sd, total:    3
author:ol, total:    3
author:vo, total:    3
author:go, total:    3
author:sa, total:    2
author:ko, total:    2
author:ki, total:    2
author:ne, total:    2
author:x2, total:    2
author:sc, total:    2
author:da, total:    2
author:fo, total:    2
author:ku, total:    2
author:ko, total:    2
author:lo, total:    2
author:an, total:    2
author:ni, total:    2
author:ii, total:    2
author:wa, total:    2
author:ra, total:    2
author:bi, total:    2
author:xh, total:    2
author:kd, total:    2
author:ne, total:    2
