user_id:sp, total:   24
user_id:ro, total:   20
user_id:da, total:   16
user_id:ev, total:   14
user_id:da, total:   12
user_id:as, total:   10
user_id:gh, total:    9
user_id:as, total:    8
user_id:da, total:    7
user_id:ta, total:    7
user_id:fa, total:    6
user_id:oo, total:    5
user_id:ne, total:    5
user_id:ch, total:    5
user_id:fl, total:    5
user_id:li, total:    4
user_id:ni, total:    4
user_id:co, total:    4
user_id:dd, total:    4
user_id:co, total:    4
user_id:ap, total:    4
user_id:ne, total:    4
user_id:bl, total:    4
user_id:lj, total:    4
user_id:gu, total:    3
user_id:pt, total:    3
user_id:da, total:    3
user_id:de, total:    3
user_id:kj, total:    3
user_id:su, total:    3
user_id:ez, total:    3
user_id:wa, total:    3
user_id:ca, total:    3
user_id:li, total:    3
user_id:bl, total:    3
user_id:my, total:    3
user_id:ne, total:    3
user_id:ho, total:    3
user_id:cr, total:    3
user_id:ju, total:    3
user_id:ju, total:    3
user_id:or, total:    3
user_id:c1, total:    2
user_id:sh, total:    2
user_id:tl, total:    2
user_id:iw, total:    2
user_id:ps, total:    2
user_id:se, total:    2
user_id:co, total:    2
user_id:st, total:    2
