user_id:liv, total:   38
user_id:kim, total:   25
user_id:ges, total:   24
user_id:hin, total:   24
user_id:Jul, total:   23
user_id:thi, total:   17
user_id:cor, total:   17
user_id:aip, total:   16
user_id:sav, total:   15
user_id:spi, total:   15
user_id:ted, total:   15
user_id:gro, total:   15
user_id:bal, total:   14
user_id:wkd, total:   14
user_id:wov, total:   14
user_id:cad, total:   13
user_id:wat, total:   13
user_id:c10, total:   13
user_id:bia, total:   13
user_id:whi, total:   13
user_id:tj2, total:   13
user_id:kic, total:   13
user_id:hin, total:   12
user_id:gay, total:   12
user_id:pig, total:   12
user_id:nes, total:   11
user_id:bub, total:   11
user_id:dar, total:   11
user_id:kj9, total:   11
user_id:fru, total:   10
user_id:ian, total:   10
user_id:lft, total:   10
user_id:chr, total:   10
user_id:xpz, total:    9
user_id:pin, total:    9
user_id:han, total:    9
user_id:4qv, total:    8
user_id:sym, total:    8
user_id:win, total:    8
user_id:miz, total:    8
user_id:fgh, total:    8
user_id:ldu, total:    8
user_id:mar, total:    8
user_id:ais, total:    8
user_id:mrp, total:    8
user_id:ddt, total:    8
user_id:rex, total:    8
user_id:jdh, total:    8
user_id:tt4, total:    7
user_id:hjw, total:    7
