author:des, total:   29
author:mem, total:   16
author:mad, total:    9
author:gga, total:    9
author:ten, total:    9
author:scw, total:    6
author:jhm, total:    5
author:Bla, total:    5
author:fro, total:    4
author:lil, total:    4
author:ban, total:    4
author:sup, total:    4
author:jel, total:    4
author:pea, total:    3
author:den, total:    3
author:bri, total:    3
author:drp, total:    3
author:ilo, total:    3
author:buc, total:    3
author:dmd, total:    3
author:cli, total:    3
author:bor, total:    3
author:tha, total:    3
author:gen, total:    2
author:yle, total:    2
author:mon, total:    2
author:sno, total:    2
author:ccy, total:    2
author:sta, total:    2
author:pir, total:    2
author:sew, total:    2
author:kih, total:    2
author:cyh, total:    2
author:rhd, total:    2
author:lov, total:    2
author:sha, total:    2
author:tru, total:    2
author:gms, total:    2
author:cro, total:    2
author:rho, total:    2
author:dra, total:    2
author:nsu, total:    2
author:sty, total:    2
author:gog, total:    2
author:nir, total:    2
author:jse, total:    2
author:amo, total:    2
author:nse, total:    1
author:gen, total:    1
author:zht, total:    1
