author:des, total:   31
author:mem, total:   18
author:ten, total:   12
author:gga, total:    9
author:mad, total:    9
author:scw, total:    6
author:Bla, total:    6
author:jel, total:    5
author:ban, total:    5
author:fro, total:    4
author:jhm, total:    4
author:sup, total:    4
author:den, total:    4
author:bor, total:    3
author:tha, total:    3
author:ilo, total:    3
author:pea, total:    3
author:cli, total:    3
author:dmd, total:    3
author:sha, total:    3
author:lil, total:    3
author:sta, total:    3
author:gen, total:    3
author:gog, total:    2
author:drp, total:    2
author:cro, total:    2
author:sew, total:    2
author:cyh, total:    2
author:sno, total:    2
author:nir, total:    2
author:lov, total:    2
author:rho, total:    2
author:oli, total:    2
author:tls, total:    2
author:pir, total:    2
author:and, total:    2
author:buc, total:    2
author:tru, total:    2
author:amo, total:    2
author:gms, total:    2
author:rhd, total:    2
author:yle, total:    2
author:tim, total:    2
author:mon, total:    2
author:sty, total:    2
author:nsu, total:    2
author:dok, total:    1
author:dou, total:    1
author:hdk, total:    1
author:tas, total:    1
