author:des, total:   18
author:mem, total:   13
author:ten, total:    8
author:den, total:    4
author:scw, total:    4
author:sta, total:    3
author:Bla, total:    3
author:pea, total:    3
author:bor, total:    3
author:gga, total:    3
author:ban, total:    3
author:jhm, total:    3
author:tha, total:    3
author:jel, total:    3
author:gog, total:    2
author:gms, total:    2
author:sty, total:    2
author:tls, total:    2
author:drp, total:    2
author:tim, total:    2
author:fro, total:    2
author:nir, total:    2
author:lov, total:    2
author:sup, total:    2
author:pir, total:    2
author:cli, total:    2
author:oli, total:    2
author:lil, total:    2
author:gen, total:    2
author:dmd, total:    2
author:rhd, total:    2
author:lik, total:    1
author:bis, total:    1
author:ccy, total:    1
author:zht, total:    1
author:dda, total:    1
author:c10, total:    1
author:dod, total:    1
author:ple, total:    1
author:ljw, total:    1
author:uwo, total:    1
author:qwe, total:    1
author:sun, total:    1
author:del, total:    1
author:sel, total:    1
author:men, total:    1
author:yle, total:    1
author:sea, total:    1
author:zen, total:    1
author:sun, total:    1
