author:gg, total:   10
author:ze, total:    7
author:dr, total:    5
author:jd, total:    4
author:ja, total:    3
author:yo, total:    3
author:su, total:    2
author:hi, total:    2
author:pa, total:    2
author:jo, total:    2
author:dr, total:    2
author:ta, total:    2
author:st, total:    2
author:re, total:    2
author:wa, total:    2
author:ze, total:    2
author:wi, total:    2
author:th, total:    2
author:lj, total:    2
author:k4, total:    2
author:te, total:    2
author:fi, total:    1
author:ja, total:    1
author:qm, total:    1
author:ra, total:    1
author:gu, total:    1
author:vo, total:    1
author:ha, total:    1
author:ke, total:    1
author:be, total:    1
author:xe, total:    1
author:ha, total:    1
author:be, total:    1
author:sa, total:    1
author:ns, total:    1
author:to, total:    1
author:gh, total:    1
author:bl, total:    1
author:99, total:    1
author:va, total:    1
author:cl, total:    1
author:go, total:    1
author:cl, total:    1
author:le, total:    1
author:st, total:    1
author:ki, total:    1
author:la, total:    1
author:di, total:    1
author:ez, total:    1
author:tr, total:    1
