author:gga, total:   12
author:cad, total:    3
author:gmr, total:    2
author:min, total:    2
author:lad, total:    2
author:pir, total:    2
author:nip, total:    2
author:zaa, total:    2
author:mal, total:    1
author:sha, total:    1
author:hjw, total:    1
author:all, total:    1
author:ehd, total:    1
author:myf, total:    1
author:cro, total:    1
author:zen, total:    1
author:gh0, total:    1
author:rr4, total:    1
author:cyh, total:    1
author:roo, total:    1
author:suk, total:    1
author:and, total:    1
author:ise, total:    1
author:spl, total:    1
author:fro, total:    1
author:oil, total:    1
author:dus, total:    1
author:coo, total:    1
author:xhf, total:    1
author:lol, total:    1
author:ams, total:    1
author:inv, total:    1
author:des, total:    1
author:scw, total:    1
author:ilo, total:    1
author:cjy, total:    1
author:jdh, total:    1
author:wwt, total:    1
author:fre, total:    1
author:von, total:    1
author:kim, total:    1
author:lun, total:    1
author:lee, total:    1
author:net, total:    1
author:sup, total:    1
author:loe, total:    1
author:ten, total:    1
author:nad, total:    1
author:gam, total:    1
author:sla, total:    1
