user_id:dlw, total:   14
user_id:hin, total:    7
user_id:len, total:    7
user_id:liv, total:    5
user_id:nac, total:    5
user_id:jiy, total:    5
user_id:ted, total:    5
user_id:nar, total:    4
user_id:eac, total:    4
user_id:yoo, total:    3
user_id:col, total:    3
user_id:4qv, total:    3
user_id:dar, total:    3
user_id:hmj, total:    3
user_id:su6, total:    3
user_id:sma, total:    3
user_id:las, total:    3
user_id:zay, total:    3
user_id:ret, total:    3
user_id:ktf, total:    3
user_id:mis, total:    3
user_id:lim, total:    3
user_id:ool, total:    3
user_id:ung, total:    3
user_id:sym, total:    2
user_id:gay, total:    2
user_id:bap, total:    2
user_id:tom, total:    2
user_id:sch, total:    2
user_id:mu4, total:    2
user_id:hid, total:    2
user_id:jsd, total:    2
user_id:2uo, total:    2
user_id:jho, total:    2
user_id:hin, total:    2
user_id:nuc, total:    2
user_id:tar, total:    2
user_id:blu, total:    2
user_id:blu, total:    2
user_id:app, total:    2
user_id:riz, total:    2
user_id:bon, total:    2
user_id:qwe, total:    2
user_id:alz, total:    2
user_id:cin, total:    2
user_id:the, total:    2
user_id:mog, total:    2
user_id:via, total:    2
user_id:yeo, total:    2
user_id:aka, total:    2
